genre_1,genre_2,release_year,count
Comedy,Family,1959,3
Adventure,Family,1960,5
Comedy,Drama,1965,19
Comedy,Family,1965,3
Drama,Family,1965,3
Adventure,Drama,1954,13
Adventure,Science_Fiction,1954,3
Drama,Science_Fiction,1954,2
Animation,Family,1950,1
Animation,Fantasy,1950,1
Animation,Romance,1950,1
Family,Fantasy,1950,1
Fantasy,Romance,1950,2
Animation,Family,1968,7
Animation,Music,1968,2
Family,Music,1968,6
Animation,Family,1944,1
Animation,Music,1944,2
Family,Music,1944,2
Animation,Family,1963,1
Animation,Drama,1948,1
Animation,Family,1948,3
Drama,Family,1948,5
Comedy,Family,1964,9
Comedy,Fantasy,1964,8
Family,Fantasy,1964,6
Animation,Family,1941,3
Animation,Comedy,1977,3
Animation,Family,1977,8
Animation,Fantasy,1977,4
Comedy,Family,1977,8
Comedy,Fantasy,1977,7
Family,Fantasy,1977,7
Adventure,Animation,1971,1
Adventure,Comedy,1971,7
Adventure,Family,1971,2
Adventure,Fantasy,1971,2
Adventure,Music,1971,1
Animation,Comedy,1971,2
Animation,Family,1971,5
Animation,Fantasy,1971,2
Animation,Music,1971,1
Comedy,Family,1971,8
Comedy,Fantasy,1971,6
Comedy,Music,1971,3
Family,Fantasy,1971,4
Family,Music,1971,2
Fantasy,Music,1971,3
Adventure,Animation,1951,1
Adventure,Family,1951,2
Adventure,Fantasy,1951,2
Animation,Family,1951,2
Animation,Fantasy,1951,2
Family,Fantasy,1951,3
Adventure,Animation,1981,5
Adventure,Drama,1981,8
Adventure,Family,1981,6
Animation,Drama,1981,3
Animation,Family,1981,6
Drama,Family,1981,5
Drama,Music,1965,3
Drama,Romance,1965,21
Family,Music,1965,1
Family,Romance,1965,1
Music,Romance,1965,5
Action,Thriller,1988,37
Horror,Science_Fiction,1992,10
Horror,Thriller,1992,18
Science_Fiction,Thriller,1992,11
Action,Thriller,1997,50
Music,Romance,1996,3
Comedy,Music,1937,8
Comedy,Romance,1937,27
Music,Romance,1937,6
Crime,Drama,1947,27
Crime,Mystery,1947,6
Crime,Thriller,1947,17
Drama,Mystery,1947,10
Drama,Thriller,1947,27
Mystery,Thriller,1947,14
Adventure,Drama,1952,10
Adventure,Romance,1952,6
Drama,Romance,1952,26
Romance,War,1993,2
Comedy,Romance,1973,6
Comedy,Science_Fiction,1973,5
Romance,Science_Fiction,1973,1
Comedy,Crime,1988,14
Comedy,Music,1982,7
Comedy,Romance,1982,22
Music,Romance,1982,5
Comedy,Drama,1972,34
Adventure,Comedy,1965,8
Crime,Drama,1967,21
Adventure,Drama,1958,8
Crime,Mystery,1954,4
Crime,Thriller,1954,11
Drama,Music,1987,7
Drama,Romance,1987,43
Action,Drama,1986,24
Action,War,1986,4
Drama,War,1986,8
Mystery,Thriller,1992,12
Crime,Drama,1992,30
Crime,Romance,1992,7
Crime,Mystery,1992,9
Drama,Mystery,1992,15
Drama,Romance,1982,26
Adventure,Family,1982,4
Adventure,Fantasy,1982,7
Adventure,Science_Fiction,1982,8
Family,Fantasy,1982,7
Family,Science_Fiction,1982,3
Fantasy,Science_Fiction,1982,2
Drama,Family,1938,4
Drama,Fantasy,1938,1
Family,Fantasy,1938,1
Action,Romance,1986,6
Romance,War,1986,1
Comedy,Horror,2013,31
Action,Western,1996,2
Adventure,Western,1996,1
Drama,Western,1996,4
Comedy,Crime,1975,11
Comedy,Mystery,1975,6
Crime,Mystery,1975,6
Comedy,Family,1991,19
Comedy,Fantasy,1991,17
Action,Adventure,1989,20
Action,Science_Fiction,1989,15
Action,Thriller,1989,31
Adventure,Science_Fiction,1989,12
Adventure,Thriller,1989,9
Science_Fiction,Thriller,1989,9
Action,Science_Fiction,1981,6
Drama,Horror,1981,13
Adventure,Comedy,1975,8
Comedy,Fantasy,1975,4
Animation,Comedy,1993,3
Crime,Drama,1982,16
Crime,History,1982,1
Crime,Mystery,1982,5
Crime,Romance,1982,2
Drama,History,1982,9
Drama,Mystery,1982,12
History,Mystery,1982,2
History,Romance,1982,1
Mystery,Romance,1982,3
Drama,Thriller,1948,19
Drama,History,1979,11
Drama,War,1979,10
History,War,1979,4
Drama,Romance,1988,51
Crime,Drama,1989,28
Comedy,Science_Fiction,1991,14
Fantasy,Science_Fiction,1991,10
Drama,Romance,1991,48
Drama,War,1957,15
Crime,Drama,1990,26
Comedy,Foreign,1991,5
Romance,War,1996,2
Comedy,Romance,1991,29
Comedy,War,1991,3
Romance,War,1991,3
Crime,Documentary,1988,1
Crime,Mystery,1988,10
Documentary,Mystery,1988,1
Comedy,Crime,1989,16
Comedy,Drama,1989,50
Comedy,Romance,1989,38
Crime,Romance,1989,3
Drama,Romance,1989,41
Documentary,Music,1991,2
Action,Adventure,1980,19
Action,Science_Fiction,1980,9
Adventure,Science_Fiction,1980,5
Adventure,Comedy,1987,13
Adventure,Family,1987,13
Adventure,Fantasy,1987,12
Adventure,Romance,1987,2
Comedy,Family,1987,13
Comedy,Fantasy,1987,19
Comedy,Romance,1987,30
Family,Fantasy,1987,10
Family,Romance,1987,5
Fantasy,Romance,1987,8
Action,Adventure,1981,18
Comedy,Science_Fiction,1985,12
Action,Horror,1986,11
Action,Science_Fiction,1986,13
Action,Thriller,1986,25
Horror,Science_Fiction,1986,16
Horror,Thriller,1986,19
Science_Fiction,Thriller,1986,8
Comedy,Drama,1987,37
Adventure,Drama,1962,15
Adventure,History,1962,6
Adventure,War,1962,3
Drama,History,1962,15
Drama,War,1962,12
History,War,1962,5
Drama,Science_Fiction,1971,6
Crime,Drama,1962,10
Action,Adventure,1983,24
Action,Science_Fiction,1983,20
Adventure,Science_Fiction,1983,8
Drama,Fantasy,1987,9
Mystery,Thriller,1949,6
Action,Horror,1979,2
Action,Science_Fiction,1979,7
Action,Thriller,1979,11
Horror,Science_Fiction,1979,11
Horror,Thriller,1979,13
Science_Fiction,Thriller,1979,8
Adventure,Drama,1988,14
Adventure,Romance,1988,3
Action,Drama,1985,25
Action,History,1985,1
Action,Crime,1989,15
Action,Drama,1989,31
Crime,Thriller,1989,18
Drama,Thriller,1989,20
Action,Comedy,1980,18
Action,Crime,1980,10
Action,Music,1980,2
Comedy,Crime,1980,8
Comedy,Music,1980,6
Crime,Music,1980,1
Crime,Drama,1974,35
Drama,War,1987,10
Adventure,Animation,1990,4
Adventure,Comedy,1990,13
Adventure,Family,1990,10
Adventure,Science_Fiction,1990,7
Animation,Comedy,1990,6
Animation,Family,1990,10
Animation,Science_Fiction,1990,3
Comedy,Science_Fiction,1990,13
Family,Science_Fiction,1990,5
Action,History,1989,1
Action,Romance,1989,6
Action,War,1989,4
Drama,History,1989,10
Drama,War,1989,16
History,Romance,1989,2
History,War,1989,5
Romance,War,1989,1
Drama,History,1984,9
Drama,Music,1984,12
History,Music,1984,1
Comedy,Drama,1952,16
Crime,Drama,1984,20
Comedy,Drama,1977,21
Comedy,Romance,1977,12
Drama,Romance,1977,18
Drama,History,1983,5
Drama,Science_Fiction,1979,7
Drama,Thriller,1979,24
Action,Drama,1981,16
Action,History,1981,4
Action,War,1981,3
Adventure,History,1981,2
Adventure,War,1981,3
Drama,History,1981,9
Drama,War,1981,6
History,War,1981,4
Comedy,Crime,1973,9
Comedy,Drama,1973,22
Crime,Drama,1973,50
Comedy,Drama,1971,33
Comedy,Romance,1971,14
Drama,Romance,1971,26
Drama,Fantasy,1957,3
Comedy,Drama,1983,32
Action,Science_Fiction,1984,14
Action,Thriller,1984,20
Science_Fiction,Thriller,1984,13
Comedy,Drama,1991,44
Comedy,Drama,1979,22
Comedy,Romance,1979,15
Drama,Romance,1979,25
Crime,Thriller,1990,24
Crime,Drama,1958,14
Crime,Thriller,1958,8
Drama,Thriller,1958,9
Action,Thriller,1990,36
Drama,History,1957,8
History,War,1957,3
Drama,Fantasy,1963,3
Crime,Mystery,1974,6
Crime,Thriller,1974,29
Drama,Mystery,1974,12
Drama,Thriller,1974,27
Mystery,Thriller,1974,12
Drama,Science_Fiction,1951,2
Drama,Thriller,1951,19
Science_Fiction,Thriller,1951,3
Action,Adventure,1948,6
Action,Western,1948,6
Adventure,Drama,1948,5
Adventure,Western,1948,2
Drama,Western,1948,5
Action,Comedy,1987,23
Action,Horror,1987,4
Action,Science_Fiction,1987,23
Comedy,Horror,1987,21
Comedy,Science_Fiction,1987,14
Horror,Science_Fiction,1987,9
Crime,Drama,1986,25
Action,Crime,1931,4
Action,Drama,1931,9
Action,Thriller,1931,2
Crime,Drama,1931,15
Crime,Thriller,1931,2
