genre_1,genre_2,release_year
Drama,Romance,1994
Mystery,Romance,1994
Drama,Music,1993
Drama,Mystery,1993
Music,Mystery,1993
Comedy,Drama,1994
Comedy,Mystery,1994
Drama,Mystery,1994
Comedy,Family,1995
Comedy,TV_Movie,1995
Family,TV_Movie,1995
Drama,Horror,1995
Comedy,Drama,1995
Drama,Family,1994
Drama,Fantasy,1994
Family,Fantasy,1994
Action,Thriller,1994
Action,Adventure,1994
Action,Science_Fiction,1994
Adventure,Science_Fiction,1994
Comedy,Drama,1994
Comedy,Family,1994
Comedy,Fantasy,1994
Drama,Family,1994
Drama,Fantasy,1994
Family,Fantasy,1994
Crime,Drama,1994
Crime,Thriller,1994
Drama,Thriller,1993
Comedy,Drama,1993
Comedy,Crime,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Drama,Romance,1994
Drama,War,1994
Romance,War,1994
Action,Comedy,1995
Action,Fantasy,1995
Action,Science_Fiction,1995
Comedy,Fantasy,1995
Comedy,Science_Fiction,1995
Fantasy,Science_Fiction,1995
Comedy,Horror,1995
Comedy,Thriller,1995
Horror,Thriller,1995
Action,Adventure,1994
Action,Science_Fiction,1994
Action,Thriller,1994
Adventure,Science_Fiction,1994
Adventure,Thriller,1994
Science_Fiction,Thriller,1994
Crime,Horror,1995
Crime,Thriller,1995
Horror,Thriller,1995
Drama,Romance,1994
Horror,Science_Fiction,1995
Horror,Thriller,1995
Science_Fiction,Thriller,1995
Drama,Romance,1994
Crime,Thriller,1995
Drama,War,1995
Drama,Romance,1993
Action,Crime,1995
Action,Science_Fiction,1995
Action,Thriller,1995
Crime,Science_Fiction,1995
Crime,Thriller,1995
Science_Fiction,Thriller,1995
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Comedy,Romance,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Comedy,Drama,1995
Comedy,Family,1995
Drama,Family,1995
Comedy,Mystery,1994
Comedy,Drama,1994
Drama,Music,1994
Drama,Romance,1992
Drama,Thriller,1992
Romance,Thriller,1992
Action,Comedy,1994
Action,Thriller,1994
Comedy,Thriller,1994
Action,Drama,1994
Action,Thriller,1994
Drama,Thriller,1994
Crime,Drama,1994
Crime,Mystery,1994
Crime,Thriller,1994
Drama,Mystery,1994
Drama,Thriller,1994
Mystery,Thriller,1994
Comedy,Drama,1994
Comedy,Family,1994
Comedy,Romance,1994
Drama,Family,1994
Drama,Romance,1994
Family,Romance,1994
Comedy,Drama,1994
Action,Fantasy,1994
Action,Thriller,1994
Fantasy,Thriller,1994
Comedy,Family,1994
Comedy,Fantasy,1994
Family,Fantasy,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Crime,Drama,1995
Crime,Romance,1995
Drama,Romance,1995
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Action,Comedy,1994
Action,Romance,1994
Comedy,Romance,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Adventure,Drama,1994
Adventure,Family,1994
Drama,Family,1994
Documentary,Foreign,1993
Animation,Drama,1994
Animation,Family,1994
Drama,Family,1994
Drama,History,1993
Fantasy,Horror,1994
Fantasy,Mystery,1994
Fantasy,Thriller,1994
Horror,Mystery,1994
Horror,Thriller,1994
Mystery,Thriller,1994
Comedy,Crime,1994
Comedy,Fantasy,1994
Comedy,Romance,1994
Crime,Fantasy,1994
Crime,Romance,1994
Fantasy,Romance,1994
Action,Adventure,1994
Action,Comedy,1994
Action,Drama,1994
Action,Western,1994
Adventure,Comedy,1994
Adventure,Drama,1994
Adventure,Western,1994
Comedy,Drama,1994
Comedy,Western,1994
Drama,Western,1994
Comedy,Crime,1994
Comedy,Drama,1994
Crime,Drama,1993
Crime,Thriller,1993
Drama,Thriller,1993
Comedy,Family,1994
Action,Adventure,1994
Action,Crime,1994
Action,Thriller,1994
Adventure,Crime,1994
Adventure,Thriller,1994
Crime,Thriller,1994
Action,Adventure,1994
Action,Crime,1994
Adventure,Crime,1994
Comedy,Romance,1994
Action,Crime,1994
Action,Science_Fiction,1994
Action,Thriller,1994
Crime,Science_Fiction,1994
Crime,Thriller,1994
Science_Fiction,Thriller,1994
Action,Thriller,1994
Drama,Romance,1994
Action,Drama,1994
Action,Western,1994
Drama,Western,1994
Action,Crime,1995
Action,Romance,1995
Action,Thriller,1995
Crime,Romance,1995
Crime,Thriller,1995
Romance,Thriller,1995
Comedy,Drama,1994
Comedy,Drama,1994
Action,Comedy,1994
Action,Crime,1994
Comedy,Crime,1994
Action,Crime,1965
Crime,Drama,1994
Crime,Romance,1994
Drama,Romance,1994
Animation,Science_Fiction,1993
Action,Adventure,1994
Action,Thriller,1994
Adventure,Thriller,1994
Action,Comedy,1995
Action,Adventure,1995
Action,Crime,1995
Action,Drama,1995
Action,Thriller,1995
Adventure,Crime,1995
Adventure,Drama,1995
Adventure,Thriller,1995
Crime,Drama,1995
Crime,Thriller,1995
Drama,Thriller,1995
Horror,Thriller,1995
Adventure,Crime,1995
Adventure,Drama,1995
Adventure,Romance,1995
Crime,Drama,1995
Crime,Romance,1995
Drama,Romance,1995
Drama,Thriller,1995
Action,Thriller,1995
Action,Fantasy,1994
Action,Science_Fiction,1994
Fantasy,Science_Fiction,1994
Horror,Mystery,1994
Horror,Thriller,1994
Mystery,Thriller,1994
Drama,Romance,1994
Crime,Drama,1994
Comedy,Family,1993
Comedy,Fantasy,1993
Family,Fantasy,1993
Drama,Romance,1993
Comedy,Crime,1994
Comedy,Music,1994
Crime,Music,1994
Comedy,Family,1994
Action,Comedy,1993
Action,Adventure,1994
Action,Comedy,1994
Action,Drama,1994
Action,Western,1994
Adventure,Comedy,1994
Adventure,Drama,1994
Adventure,Western,1994
Comedy,Drama,1994
Comedy,Western,1994
Drama,Western,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Comedy,Drama,1994
Comedy,Fantasy,1994
Drama,Fantasy,1994
Action,Comedy,1994
Action,Crime,1994
Comedy,Crime,1994
Action,Adventure,1994
Action,Drama,1994
Action,Family,1994
Adventure,Drama,1994
Adventure,Family,1994
Drama,Family,1994
Crime,Drama,1994
Crime,Mystery,1994
Crime,Thriller,1994
Drama,Mystery,1994
Drama,Thriller,1994
Mystery,Thriller,1994
Action,Drama,1994
Action,Thriller,1994
Drama,Thriller,1994
Drama,Romance,1994
Horror,Science_Fiction,1993
Horror,Thriller,1993
Science_Fiction,Thriller,1993
Drama,Romance,1993
Crime,Drama,1993
Comedy,Drama,1993
Action,Crime,1993
Action,Drama,1993
Action,Thriller,1993
Crime,Drama,1993
Crime,Thriller,1993
Drama,Thriller,1993
Action,Comedy,1994
Action,Drama,1994
Action,Western,1994
Comedy,Drama,1994
Comedy,Western,1994
Drama,Western,1994
Comedy,Mystery,1994
Comedy,Thriller,1994
Mystery,Thriller,1994
Action,Adventure,1993
Action,Thriller,1993
Adventure,Thriller,1993
Comedy,Family,1993
Comedy,Science_Fiction,1993
Family,Science_Fiction,1993
Drama,Mystery,1994
Drama,Romance,1994
Drama,Thriller,1994
Mystery,Romance,1994
Mystery,Thriller,1994
Romance,Thriller,1994
Action,Comedy,1994
Action,Family,1994
Comedy,Family,1994
Action,Comedy,1994
Action,Western,1994
Comedy,Western,1994
Comedy,Drama,1993
Action,Crime,1993
Action,Science_Fiction,1993
Crime,Science_Fiction,1993
Comedy,Drama,1994
Comedy,Romance,1994
Comedy,Western,1994
Drama,Romance,1994
Drama,Western,1994
Romance,Western,1994
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Comedy,Drama,1994
Drama,Mystery,1993
Drama,Romance,1993
Mystery,Romance,1993
Comedy,Foreign,1994
Comedy,Mystery,1994
Comedy,Romance,1994
Comedy,Thriller,1994
Foreign,Mystery,1994
Foreign,Romance,1994
Foreign,Thriller,1994
Mystery,Romance,1994
Mystery,Thriller,1994
Romance,Thriller,1994
Comedy,Romance,1993
Drama,Mystery,1993
Drama,Thriller,1993
Mystery,Thriller,1993
Adventure,Family,1993
Crime,Drama,1994
Crime,Thriller,1994
Drama,Thriller,1994
Action,Adventure,1993
Action,Crime,1993
Action,Mystery,1993
Action,Thriller,1993
Adventure,Crime,1993
Adventure,Mystery,1993
Adventure,Thriller,1993
Crime,Mystery,1993
Crime,Thriller,1993
Mystery,Thriller,1993
Action,Drama,1993
Action,History,1993
Action,Western,1993
Drama,History,1993
Drama,Western,1993
History,Western,1993
Action,Drama,1994
Action,Thriller,1994
Drama,Thriller,1994
Comedy,Crime,1994
Comedy,Family,1994
Crime,Family,1994
Drama,Romance,1994
Comedy,Drama,1994
Drama,Thriller,1993
Action,Adventure,1993
Action,Crime,1993
Action,Thriller,1993
Adventure,Crime,1993
Adventure,Thriller,1993
Crime,Thriller,1993
Action,Drama,1993
Action,History,1993
Action,War,1993
Drama,History,1993
Drama,War,1993
History,War,1993
Action,Comedy,1993
Action,War,1993
Comedy,War,1993
Comedy,Drama,1995
Comedy,Romance,1995
Drama,Romance,1995
Drama,Romance,1993
Comedy,Drama,1994
Comedy,Drama,1994
Action,Crime,1993
Action,Drama,1993
Action,Mystery,1993
Action,Thriller,1993
Crime,Drama,1993
Crime,Mystery,1993
Crime,Thriller,1993
Drama,Mystery,1993
Drama,Thriller,1993
Mystery,Thriller,1993
Comedy,Drama,1994
Comedy,Romance,1994
Drama,Romance,1994
Drama,Music,1993
Action,Crime,1993
Action,Thriller,1993
Crime,Thriller,1993
Adventure,Science_Fiction,1993
Crime,Thriller,1993
Action,Crime,1993
Action,Drama,1993
Action,Thriller,1993
Crime,Drama,1993
Crime,Thriller,1993
Drama,Thriller,1993
Action,Adventure,1994
Action,Drama,1994
Action,Family,1994
Adventure,Drama,1994
Adventure,Family,1994
Drama,Family,1994
Action,Adventure,1993
Action,Comedy,1993
Action,Family,1993
Action,Fantasy,1993
Adventure,Comedy,1993
Adventure,Family,1993
Adventure,Fantasy,1993
Comedy,Family,1993
Comedy,Fantasy,1993
Family,Fantasy,1993
Comedy,Family,1993
Action,Comedy,1994
Action,Western,1994
Comedy,Western,1994
Drama,Romance,1993
Crime,Drama,1993
Comedy,Mystery,1993
Action,Crime,1993
Action,Drama,1993
Crime,Drama,1993
Action,Adventure,1996
Action,Drama,1996
Action,Thriller,1996
Adventure,Drama,1996
Adventure,Thriller,1996
Drama,Thriller,1996
Drama,Romance,1976
Comedy,Drama,1994
Comedy,Romance,1994
Comedy,Thriller,1994
Drama,Romance,1994
Drama,Thriller,1994
Romance,Thriller,1994
Comedy,Drama,1993
Comedy,Romance,1993
Drama,Romance,1993
Drama,Romance,1993
Comedy,Romance,1993
Comedy,Drama,1993
Comedy,Family,1993
Drama,Family,1993
Comedy,Drama,1993
Comedy,Drama,1994
Action,Drama,1994
Action,Science_Fiction,1994
Action,Thriller,1994
Drama,Science_Fiction,1994
Drama,Thriller,1994
Science_Fiction,Thriller,1994
Comedy,Drama,1994
Comedy,Family,1994
Comedy,Fantasy,1994
Comedy,Science_Fiction,1994
Drama,Family,1994
Drama,Fantasy,1994
Drama,Science_Fiction,1994
Family,Fantasy,1994
Family,Science_Fiction,1994
Fantasy,Science_Fiction,1994
Drama,Fantasy,1992
Drama,Romance,1992
Fantasy,Romance,1992
Crime,Drama,1993
Crime,Thriller,1993
Drama,Thriller,1993
Drama,Romance,1993
Drama,Romance,1993
Horror,Science_Fiction,1994
Horror,Thriller,1994
Science_Fiction,Thriller,1994
Comedy,Crime,1994
Comedy,Drama,1994
